label,cleaned_text
1,Mothers hold their childrens hands for a short while but their hearts forever Happy Mothers day pictwittercomUUz0HGksr0
2,Happy mothers Day to me and every mothers out there Godbless us all Ikorodu compBCZHwTHVDt igshid=0ne0glewbdxq
1,Happy Mothers Day Alison from all at Green Tree Farm Shetlands we love you and are very grateful for all you do for us thank you We hope you enjoyed your day compBDNFQEpxki igshid=000b0p00u0h0j
0,Wishing a Happy to all our Mothers We hope you are staying safe and enjoying your day in exceptional circumstances pictwittercomGUHgx0fkgL
2,Happy Mothers Day We stay here so you can stay at home Stay away and stay safe Love from all at Preston ED katie00000 LouiseDavitt SimeLynn pictwittercomzy0UX0nk0E
1,MoonpigUK so on calling my mum to double check that her mothers day card definitely did not arrive turns out that 0 other cards are also missingthat is 0 in the last 0 months to various people Currently on hold on phone to you with last 00 minutes to you Not happy
1,Happy I sent you a bouquet of flowers MMMMWWaaaaaahahahahaaaaaaaaaseriously though How will the flower industry do Are people having 0nd thoughts about sending flowers handled multiple times
2,Just phoned Ma to wish her a happy Mothers Day Normally take her out for a meal but obviously not this time Thought about getting her a delivery but do not want to take the risk Meal now booked for Autumn
2,The girls always treat me to a beautiful home made card but this one really is the funniest I have EVER received Who needs flowers when you have a happy toilet roll Very pictwittercomYx0dF0uTLk
1,I am so touched by those pix for all Fergies faults she is an amazing mother person I have always like her sunshine personality against all oddsthat is how royalty looks Happy Mothers day one all I know I am missing mine
1,Weirdest Mothers Day ever Delivered food essentials to the doorstep spoke to my parents through the windowhave not seen them for over a month as they just flew in from abroad are in quarantineFor longer than they think Broke my BUT left happy that they are safe
0,Happy Mothers Day To all the mums out there keep going you are doing an amazing job If your mothers day plans can not go ahead or one of you is now in isolation check out our tips to bring your lovely mum some joy in these difficult times pictwittercomQe00IFw0Ro
2,Had to cancel mothers day lunch so instead me and my mum made coffee in our insulated cups and I took mine to her house and we hung out at a distance in her garden for a while Happy mothers day to mothers everywhere
2,Happy mothers day to my mum icecreamanne demonstrating in the first photo As always in style Second photo at my graduation in Feb third with my dad in Dec another legend and finally selfie compBCmSzsJLom igshid=0ujnr0zvxubfc
2,Happy mothers day to all the mums without you all we would not be compBBrIJpzlV igshid=00r0g0rrk0he0
1,Happy Mothers Day To all of the Queens out there even in these scary times and when you may not be able to see your loved onesyou are amazing day compBC0xraBD00 igshid=rwjdp0z00pwp
2,I went onto the whatsapp group with all the parents an they sent videos of the kids saying happy mothers day to us and thanks for always minding us when their real mammys are in work crying
0,Happy mothers day to all you mammies deg deg deg deg deg compBCa0zdhiEz igshid=00vxghk0axu0x
0,Happy Mothers Day Today is all about celebrating our mazing Mums and everything they do for us pictwittercomKMoZkqNoYC
0,Mothers are magicians They turn pain into hope hardship into lessons and tears into laughter Happy Mom pictwittercomIvuK0oLr0c
0,I may not have mum around but I will like to celebrate two lovely ladies a friend Midegold and her sista SymplyTacha happy mothers day pictwittercomOgz0ag00dZ at Protea Hotel by Marriott Benin City Select Emotan
1,Happy Mothers day to 0 generations of strong and beautiful women of my family Happy mothers day to all mothersand aspiring mothers out there We are a great species caring and nurturing and loving We bring compBCS0DzlOxQ igshid=0fe0p0fuatd0y
1,Happy Mothers Day to all you lovely mums out there Thank you to those that ordered my cupcakes Cake Jeanie by Sophie pictwittercomODje0BVPrB
0,Your favoritecarguy Loves you dearly Dunno where we would be without you pictwittercomRgib0PZuqn
1,Had a lovely walk along the beach today for Mothers Day Also took Ernie out for a walk He is a absolute cutie Ernest Winston Eagle Happy Mothers Day Mum pictwittercomkzwxUaBszd
0,shellzhomestylekitchen Happy Mothers to all the wonderful mothers out there now more than ever we have to adore and cherish our loved ones compBDdVFHBWGl igshid=guctiuwud0ns
2,Happy Mothers Day to all those wonderful Mummies out there from all ashornehill pictwittercomcLtRoVZgFA
2,The other day we went to go buy balloons for Alfies mum for Mothers Day little did I know he actually bought them for me He asked me to write a letter to my mum and then we would set them off Floods of tears he truly is special happy mothers day mamma
2,Mothers from feeding and clothing us to loving us in the tough times to helping us succeed in our goals we owe it all to you Happy Mothers Day pictwittercomoV0xnQTgsi
0,Happy Mothers Day to my Queen my role model my absolutely amazing beautiful mama I love you all the world compBCcjjZlCiJ igshid=0m00xzefuzjkv
2,Happy Mothers Day to a deserving mum you are my super hero and I am thankful for all of the love and sacrifices of the years pictwittercomed0zevFSLu
1,Happy Mothers Day We hope all mothers out there are having a lovely day We know it is a difficult time and some are not able to spend the day with their mums but how are you celebrating Let us know pictwittercomkfBjepgnas
2,Happy UK and the coolest mum on twitter smithlynne Ms Diana Patricia Hiddleston And all mums out there pictwittercommBDHoLQZnd
1,Mothers are treasures that can never be measured To all mothers happy to you all pictwittercomXt0vRMifay
2,Good Morning Editor i do not know if Your A Mum if You are Happy Mothers Day Thank You and Princess Charlotte For The Beautiful Picture Of You And Your Precious Royal Cambridge Family brings me a smile i Love And Admire All Of You very much enedina silva twittercomCharlotteFan00 status0000000000000000000
2,Happy mothers day We honour you for your love care and service to your children and families pictwittercomB0nW0gc0Rf
2,Happy Mothers day to my beautiful Mommy Louise my inspiration love you always Sandra xx pictwittercomIOhRyxBwce
1,For being the frontline in purchasing and deciding what we consume for being the advocate when we are dissatisfied and for being the enforcer when we are treated unfairly Happy Mothers day moms twittercomfccpcnigerias tatus0000000000000000000
0,Megs telling the peopls of Britain how to stay safe speaking of the NHS like she cared about the Brits and fails to say happy mothers day Kate sent a beautiful message to all mothers
2,Happy Mothers Day to all the good mothers Wishing you all a calm and relaxing Mothers Day You deserve to be pampered I love you and wish you all the best Mothers Day may you all livelong to eat the fruit of compBCXCaJNOa igshid=00awk0000hdm
1,Dearest Celia and Duchess Meghan Markel Happy Mothers Day How Great You Both Are And Will Always Be i Love Both Of You And Your Great Husband Prince Harry And Your Precious Son Prince Archie With The Greatest Admiration enedina silva twittercomMrsWantedsta tus0000000000000000000
1,Happy Mothers Day to all great aspiring mothers out there To those who are caring for others today those who are longing to be with their mothers we really appreciate all that you do for us Ur truly the glue that holds the World together pictwittercomBB0cnNI00q
0,T O M O M Happy Mothers Day My absolute superhero of a woman my ride or die best friend in the world so proud of you and thank you for making me every inch that I am could not do any of it without you pictwittercomAJc0PtiW0F
0,Happy to all the super mummies doing their best every day thank you for being amazing On behalf of your biological and nonbiological children we say a big thank you you are doing well Mention a supermom and tell her you are doing well mama pictwittercomk0CVpAZTro
0,I want to say big THANK YOU MOM you have been everything to me and my siblings Without you this world would have mean nothing to me Love you more To all of the amazing mothers and honourary mothers who create magic every day Happy pictwittercomQZgbVFPy0d
0,Happy Heavenly Mothers Day Mum Love Miss you everyday xxxxxxxxxxxxxxx compBCRxunc0Z0 qWbtgIciiKUX0l0MVavEI0xs0igshid=0rpxmcv0z0lsh
2,Happy Mothers Day Embracing your mother today might mean reaching out to her by video call telephone or popping by to drop off some flowers or some home cooked food to her door Mothers of the world we salute you pictwittercomqZiFmjvU0Z
1,thismorning Happy Mothers Day to my beautiful mum Cheryl Taylor We all miss you more than you know xxx itvcorrie Our last trip out together at coronation street tour a few weeks ago Making memories pictwittercomyI0qkm0n0E
2,Happy Mothers Day Mum with grace and gentle strength you were always on my side I was blessed like Holy Water because I was blessed with love from you London United Kingdom compBCkISZH000 igshid=0o0x0daoos0y
0,Happy Mothers Day to all the special mothers out there And of course to our lovely team at Markree Home Farms pictwittercomyU0WakOuCh
1,Heres to all the Super Mums out there Sorry we could not help you all celebrate together Happy Mothers Day from the spotted dog team see you soon pictwittercomlRJisydGEw
0,Happy Mothers Day to all women who are mothers take the roll of mother and are still waiting to become a mother may we praise you all have a great day pictwittercomoC0Jj0hIdf
1,Beech Class would just like to say Happy Mothers Day GoodSchoolsUK SchoolsTatler BSAboarding pictwittercomLASjxJoNJz
1,Happy It is so important to keep safe however this is made much more difficult for housebound elderly people as they have different coming and going into their houses all the time who also have to look after so many other people twittercomHelenHoldgate status0000000000000000000
1,Happy Mothers Day to the one and only a truly selfless and devout mother and parent the only woman on the planet with the power to bring a tear to my eye sometimes for happy reasons sometimes for sad but definitely the only one pictwittercomAb0blH0TFr
0,Hard to be apart on Mothers Day But next years will be extra special Nice phone call though And flowers delivered Happy Mothers Day xxxx compBCt00HMQL igshid=0du0tmer0ao0i
0,This is the only image I have left of my late mother who was a dedicated Catholic Happy mothers Sunday to all the mothers in the world compBUolRYDaaP igshid=0hcsakeo0g0lf
1,Happy Mothers Day to all the wonderful Mums out there who go above and beyond for their children everyday and also to those who may have stepped into those shoes through choice or otherwise I hope you have all had a wonderful day pictwittercomNDggivw000
1,Happy Mothers Day to all the mums out there Also extra special thoughts and love to all those whose who feel sadness today due to bereavements or family problems pictwittercomt0rscnpDAd
2,HAPPY MOTHERS DAY to all you fabulous female warriors We hope despite the doom and gloom you all manage to have fun stay merry and focus on what is N00family loved ones The winners of our Mothers Day compBCWyZ0h0x0 igshid=00t00uw0000gi
1,VanessaGillieo Happy Mothers Day To Your Beautiful And Very Precious Mum Vanessa i Love Both Of You And Your Precious Father And All Your Family Very Much With The Greatest Admiration enedina silva
1,Happy to and Moms grandmothers greatgrandmothers in the UK I wish them a wonderful day full of love happiness and blessings AngelaDwane pictwittercomcGxWaLddio
1,Happy Mothers Day to my One Thank you for always reminding us what really matters It means the valley always leads back to the mountain top vpfrost pictwittercom00cj00LAUd
0,Me and my hubby are self isolating and so not seen my beautiful daughters today but one of my daughters Julie drove from Reddish to post me a card and money off for mothers at Droylsden she posted them then text me happy mothers day love my daughters so much they are my world xxx
1,it is been a tough few weeks but even then Happy to all the incredible mothers all over the world pictwittercom0EGmay00y0
0,Happy mothers day to all those mums who is children can not be with them today My son Dylan lives in heaven I wish I could see him for one more hug I wish I could tell him how much I love and miss him Huge happy mothers day to your mum too
1,HAPPY MOTHERS DAY My mum taught me a few of her JIVE moves to the incredible Dance With Me Tonight by ollymurs So lovely to see her smiling pictwittercompLT0efUmIy
0,Mothers Day Greeting Online and a bit of a chat too catch up on the local news Denis Brennan from Tralee Co Kerry says happy to his wife of over 00 yrs Maisie via his computer Photo Domnick Walsh for Eye Focus pictwittercommm0buy0n00
2,Reaction to me surprising her with the present and leaving it on my mums doorstep Happy Mothers Day x love ya Sound on for cute reaction pictwittercomS0qG00v0FB
2,Happy mothers day tifatelmujib from all of us at tatafonaija compBCZOnVDq00 igshid=dgyrdaplezwx
2,Happy mothers day to all those amazing mums out there if you can not be with them today pick up the phone or video chat Stay safe and smile with your love ones pictwittercoml0L0kP000H
1,Happy Mothers Day to my incredible mother This woman is so crazy sometimes and I would not change her for anything I am forever grateful to have her in my life pictwittercomgipSfeW0ZS
1,Saying it with candlelight reflection To mothers everywhere thoughts and special wishes Happy Mothers Day compBCdKBYlVv0 igshid=0tch0e0cipflj
2,to all mums am sat at home we me my boyf and doggy lady and my meal is beans nd sausages am happy enuff we that suppose xxxxx
0,Good Morning Editor i do not know if Your a Mumif You Are Happy Mothers Day i Love And Admire You Editor Happy Mothers Day To Princess Catherine Middleton Your A Blessing To me And All People On Earth i Love You And Your Great Royal Cambridge Family enedina silva twittercomREDailyMails tatus0000000000000000000
0,Happy mothers day to the true heroes called MOTHERwe love you all from thechopsfactory pictwittercomWozXVhCbGs
2,Happy Mothers Day to all the Mothers working on the frontline today Thank you for keeping our People alive our Country running Irish Mothers are the best
1,Happy Mothers Day Happy Mothers Day to our mothers and our grandmothers today Kind Positive Empathetic Caring Strong Happy driven dedicated patient Everything you do and continue to do Thank you pictwittercomnkhdlf0caf
1,HAPPY MOTHERS DAY TO ALL SINGLE PARENT DADS OUT THERE WHO ARE DOING TWO JOBS RAISING THEIR KIDS AS A SINGLE PARENT MUM I KNOW HOW HARD IT IS TO DO TWO JOBS you are DOING A GREAT JOB
2,Happy mothers day to my wonderful mom Gladys Ikenna and to all the wonderful women all over the world Oprah HillaryClinton MeghanMarkel obyezeks ChimamandaReal MichelleObama And the Customer service women fidelitybankplc Alaba branch
2,Happy Mothers day to my amazing inspiring mother She is my rock my inspiration and without her I would not be here today I am so lucky to call her my Mum She does so much for me and has shaped me in to the person I am today I love you always Angela pictwittercomGETZT0Xw0F
0,Happy Mothers Day pictwittercom0BF0y0wKB0
1,Happy Mothers Day pictwittercomfz0eedZhmN
1,Happy Birthday and Happy Mothers Day to my darling daughter blackbeautytash I am so very proud of you in all you do you are an amazing mum to my precious grandchildren and a fab sister missharliet compBCkJCrDDpT igshid=0bnnd0w0of000
1,I am going stir crazy already but I know id rather be in my house safe than out there with people who doing give a fiddlers fart I have no immune system to speak of due to vitamin D deficiency So I am very afrad Oh by the way happy mothers day to all Mothers out there Be safe
0,Beautifulso sad so true Full of very mixed emotions right now Need to be smiling and happy for my night shift Going to be a strange end to a peculiar Mothers Day xx With love
1,My mums diabetic diabetes and is on insulin Plus my mum has lost both her kidneys And had a brain stroke in 0000She is on dialysis Three times a week she need to go hospital To get her blood taken out and fresh blood put in My mum has no kidneys at all Happy Mothers day
2,Happy mothers day all you absolute babes and milfs also make sure you treat your mom today even if its just spending a bit of time with her she will appreciate it more than you know
1,Happy Mothers Day to my gorgeous Mummy Missed you today Even sadder that you did not get to see and cuddle Austin we will make up for it when all this is over compBDDMxlGAm igshid=00yn0he00a00r
1,Happy Mothers Day to all the amazing mums out there We hope you all have a special day compBCZAZBgMb igshid=0myxitcn0a0u0
2,I have just stood in my mums driveway to say hello and happy mothers day at a distance it broke my heart not to give her a hug but I can hug her as much as I like once this is over xx
1,we spent the morning in bed with mum happy mothers day compBDaBrwA0rvX yNBpmovtSxUM0TUYMZDpqkOfHo0igshid=bsenvhx0m0bc
0,that Mothering Sunday is not celebrated on the same day around the world Whilst the UK is celebrating it today for the majority of countries it will take place on 00 May this year Happy pictwittercomC0qpZmuBVw
0,Mama you gave love to me and turned a young one like me into the Woman I am today do not think I will ever come to terms with saying goodbye to you Cos to me you still live Happy Mothers day to my mum in compBDTsrbJsia igshid=0zjycuucdsir
1,Happy Mothers Day to the best mum in the world I love you compBCRkQxBpM igshid=0pp00zykbfurb
0,Wishing Mothers all over the world a Happy Sadly many are not able to spend the day with their loved ones but let us do what we can to ensure this is over soon pictwittercomf0oPJOSlhn
1,Happy Mothers Day ShivonSoap And harkinHQ And to all you Mamas where it is today Enjoy twittercomkeithharkinst atus0000000000000000000
1,When love is gone there is always justice And when justice is gone there is always force And when force is gone there is always Mom Hi Mom Happy UK Mothers Day I love each and every one of you
0,to my sweet mother in heaven i love and you miss mom to my beautiful wife and my sister Princess and Sister Inlaw i love you forever And all all over the Worldyou all are live compBDGoLHb0 igshid=nl00tn00hwoe
2,Happy Mothers Day to all the Super Women out there elancafe is the spot compBCqOYcguk igshid=0x0t00iqvfpc
0,Please hold your mothers and any female in your life who has been a mother to you obviously not atm Life is too short not to love the people in your life and you never know what tomorrow holds for you Happy mothers day to the strong women in our lives and the ones we lost
2,ShaneFilan To the mother of my 0 babies Happy Mothers Day to the love of my life GillianFilan compBC0x00HVvz igshid=z0ptaidv000y
0,Day 0 of self isolation Happy Mothers Day to all you beautiful mummas out there And more so to my gorgeous lady who I will happily be spending my day with playing with Lego 0 pictwittercomsDGKbNIXaV
2,Lateefay cher kar main apni maa ko jab hansata hoon Mujhay mehsoos hota hain ke jannat muskurati hain Happy mothers day to all the lovely mums out there
1,Happy Mothers Day to everyone out there I could not see my mum today but we have called and laughed lots To everyone out there that can not see someone they love pictwittercom0C0uhLUW00
1,It may be mothers day but this is my wife Rachels version of a antidote for covid 00 Happy Mothers Day to all mums out there pictwittercomUms0FqoJyK
1,Happy mothers day to everyone Thoughts with a friend who is stranded in a condemned unsanitary hotel in India after having passport seized when she tried to return home from holiday She is now positive Stay strong Jane xxx
2,Happy Mothers day Especially to all the hard working mums who not only have children to worry about but are keeping our NHS going Winchester Hampshire compBDJqE0hV0F igshid=0onc0epwr000u
2,So very happy grateful to have my beautiful daughter Paige Lillie Marie arrive safely home on Mothers Day and want to wish my lovely mum Marion Harvey a very Happy Mothers Day compBC0rmsJqaEJ nbA0GHdN00B0mSWxv0kIuh00igshid=yo0amnyw000c
2,Happy Mothers Day to all the mothers We recognize and appreciate you pictwittercomk0zJtXCLcC
0,Happy mothers day to all the mothers out there today London United Kingdom compBCwysLAjKz igshid=00slqzh00qlul
1,Happy Mothers Day to EVERYONE today we are all looking after someone even if you do not think you are Socially distancing HEROES To all teachers preparing for tomorrow be kind to yourselves and remember to make time for quality time you are amazing pictwittercomCFtieAQnTN
1,Happy Mothers Day to all our lovely mums Have a great day from all the LTN team compBCXPf0j0Qw igshid=0mzo000rhjg00
0,Found a use for some of our collection of wine bottles ifttt0UoFUBM pictwittercomGhkUlAtC0j
2,Happy Mothers Day from TCKZone Kids We wish all mothers a Happy Mothers Day Keep loving caring and being affectionate God Bless You All omoaqin blackbossfilms pictwittercomfj0QONxso0
2,Happy Mothers Day Our hearts love and prayers to mothers all over the world and those boglighthouse in particular May the Lord reward your labours over your children
2,Wishing all our Players Supporters Volunteers and Communities Mums a very happy Mothers Day from us all at Coalville Town For once football does not get in the way and we can spend the whole day spoiling mum pictwittercomeZZXgsa0wg
0,Happy Mothers Day to my lovely Mum who came from Greece aged 00 and trained as a nurse in the NHS with her first job KingstonHospNHS Tough not to visit in person but the right thing to do today she is in the middle kneeling up pictwittercom0S0vpjdR0S
0,Happy though we can not see you today and are missing you very much we love this picture from Christmas time pictwittercom0C0pQLWskb
1,Happy Mothers Day bekkipomeroy when she can not come and watch me play she always says to score a goal for her this time with my first touch pictwittercomjIH0nIJZnd
1,Happy Mothers Day to all of the fabulous mums out there Especially if you can not be with your mum today for whatever reason Love from us all pictwittercomBsTal0KT0Y
0,00 how long also its mothers day I then went got a take away fry up cos why not then plodded about my house in the afternoon at 0pm ish i received a basic happy mothers day text from my child no old fashioned card in the post
1,Saver of worlds paragon of the universe and mother to Luke and Sky Heres to a happy to Sarah Jane Smith and every mother out there pictwittercomGuQhUE0ZEH
2,BBCCasualty Happy Mothers Day Heres to all the DoctorsNurses Everywhere working hard meamandamealing maddyhill00 georgerainsford Amandahendrson ChuckyVenn Charlie Dylan Duffy David All of the Casualty Family xx pictwittercom0EI00rekDD
1,Happy Mothers Day to me just got a whole lot better even the cat is in awe Thanks boys pictwittercomv0rf0HFdCZ
0,Happy spring time one and all Is it ok to be happy spring has sprung To many spr words compBDPFuHn0WM igshid=0ia00l000r0ly
1,Surreal experience saying Happy Mothers Day to my Mum through a glass window today but 000 necessary If you love someone the best thing you can do is keep away
1,Today being Mothers Day my boss SeanDampte has decided to bless 0 single mums So if you are a single mum come here and do like this my boss has a token for you You can aswell nominate one Happy Mothers Day Awoodah
1,Happy Mothers Day to all you gorgeous women all you beautiful men that are stepping in as mummy howtobaketipscomhappymothers daytoallyougorgeouswomenallyoubeautifulmenthataresteppinginasmummy
1,Happy mothers day to all mums out there birth mums step mums adoptive mums Foster mums mums to be mums who have lost Cheers to you all have a lovely day pictwittercomH0QOJ00sPO
0,Happy Momma A to all the mums Thanks for protecting teaching loving providing for us you are the best To anyone wanting to show appreciation to their mum today remember they need love protection too so find a way to show you care spread love not germs pictwittercom0TqUmtnDOj
1,PangolinLondon with getrepost HAPPY MOTHERS DAY To celebrate we are bringing you another uplifting work in the form of Terence Coventrys Joyrider I Coventrys Joyrider I is part of a small compBFRW0fgwvU igshid=0qmtbcremnt0s
0,Happy everyoneemilyabclark MusicalMash MusicalHell JeffScotCarey ERodBuster0 mvbrat00 and ChrisStuckmann pictwittercomWAj0U0UucP
1,I love you mum Happy mothers day compBCbo0lfvG igshid=y0pdiqfc0yox
0,Happy Mothers Day to the most amazing mum in the whole world I love her more than anything I would be lost without her she is my world I am so lucky to have her pictwittercom0qv00Wnmoo
2,Alas poor Yorick I knew him Horatio a fellow of infinite jest of most excellent fancy he hath borne me on his back a thousand times and now But really Happy Mothers Day
